inputs=128 keys=78 outputs=1 gates=361
iteration: 1; vars: 2450; clauses: 2291; decisions: 253
iteration: 2; vars: 3170; clauses: 4171; decisions: 775
iteration: 3; vars: 3890; clauses: 2875; decisions: 1317
iteration: 4; vars: 4610; clauses: 4787; decisions: 1602
iteration: 5; vars: 5330; clauses: 3576; decisions: 1882
iteration: 6; vars: 6050; clauses: 5488; decisions: 2494
iteration: 7; vars: 6770; clauses: 4445; decisions: 3438
iteration: 8; vars: 7490; clauses: 6385; decisions: 4457
iteration: 9; vars: 8210; clauses: 8325; decisions: 5709
iteration: 10; vars: 8930; clauses: 5641; decisions: 5979
iteration: 11; vars: 9650; clauses: 7565; decisions: 6709
iteration: 12; vars: 10370; clauses: 9481; decisions: 7094
iteration: 13; vars: 11090; clauses: 6671; decisions: 7487
iteration: 14; vars: 11810; clauses: 8587; decisions: 8201
iteration: 15; vars: 12530; clauses: 10495; decisions: 8939
iteration: 16; vars: 13250; clauses: 7546; decisions: 9187
iteration: 17; vars: 13970; clauses: 9454; decisions: 9658
iteration: 18; vars: 14690; clauses: 11362; decisions: 10519
iteration: 19; vars: 15410; clauses: 13270; decisions: 11331
iteration: 20; vars: 16130; clauses: 8771; decisions: 11607
iteration: 21; vars: 16850; clauses: 10691; decisions: 11912
iteration: 22; vars: 17570; clauses: 12611; decisions: 13184
iteration: 23; vars: 18290; clauses: 14531; decisions: 13455
iteration: 24; vars: 19010; clauses: 10123; decisions: 14697
iteration: 25; vars: 19730; clauses: 12047; decisions: 15356
iteration: 26; vars: 20450; clauses: 13971; decisions: 15902
iteration: 27; vars: 21170; clauses: 15899; decisions: 16148
iteration: 28; vars: 21890; clauses: 11378; decisions: 16395
iteration: 29; vars: 22610; clauses: 13306; decisions: 17021
iteration: 30; vars: 23330; clauses: 15230; decisions: 18110
iteration: 31; vars: 24050; clauses: 17154; decisions: 19446
iteration: 32; vars: 24770; clauses: 19066; decisions: 19968
iteration: 33; vars: 25490; clauses: 12752; decisions: 20272
iteration: 34; vars: 26210; clauses: 14660; decisions: 21096
iteration: 35; vars: 26930; clauses: 16568; decisions: 21825
iteration: 36; vars: 27650; clauses: 18472; decisions: 22081
iteration: 37; vars: 28370; clauses: 20376; decisions: 22905
iteration: 38; vars: 29090; clauses: 14239; decisions: 23868
iteration: 39; vars: 29810; clauses: 16139; decisions: 24824
iteration: 40; vars: 30530; clauses: 18043; decisions: 25286
iteration: 41; vars: 31250; clauses: 19947; decisions: 25547
iteration: 42; vars: 31970; clauses: 21855; decisions: 26101
iteration: 43; vars: 32690; clauses: 23763; decisions: 26527
iteration: 44; vars: 33410; clauses: 16221; decisions: 26777
iteration: 45; vars: 34130; clauses: 18133; decisions: 27536
iteration: 46; vars: 34850; clauses: 20041; decisions: 27932
iteration: 47; vars: 35570; clauses: 21949; decisions: 28527
iteration: 48; vars: 36290; clauses: 23857; decisions: 29447
iteration: 49; vars: 37010; clauses: 25765; decisions: 29729
iteration: 50; vars: 37730; clauses: 18312; decisions: 30011
iteration: 51; vars: 38450; clauses: 20220; decisions: 30396
iteration: 52; vars: 39170; clauses: 22128; decisions: 31085
iteration: 53; vars: 39890; clauses: 24040; decisions: 32053
iteration: 54; vars: 40610; clauses: 25952; decisions: 32301
iteration: 55; vars: 41330; clauses: 27864; decisions: 33387
iteration: 56; vars: 42050; clauses: 29776; decisions: 36011
iteration: 57; vars: 42770; clauses: 20603; decisions: 36295
iteration: 58; vars: 43490; clauses: 22511; decisions: 36949
iteration: 59; vars: 44210; clauses: 24419; decisions: 37793
iteration: 60; vars: 44930; clauses: 26331; decisions: 38326
iteration: 61; vars: 45650; clauses: 28243; decisions: 39523
iteration: 62; vars: 46370; clauses: 30155; decisions: 39930
iteration: 63; vars: 47090; clauses: 32067; decisions: 40722
iteration: 64; vars: 47810; clauses: 33979; decisions: 41432
iteration: 65; vars: 48530; clauses: 23019; decisions: 41697
iteration: 66; vars: 49250; clauses: 24935; decisions: 42133
iteration: 67; vars: 49970; clauses: 26851; decisions: 42899
iteration: 68; vars: 50690; clauses: 28771; decisions: 43593
iteration: 69; vars: 51410; clauses: 30691; decisions: 43964
iteration: 70; vars: 52130; clauses: 32611; decisions: 44502
iteration: 71; vars: 52850; clauses: 34531; decisions: 44770
iteration: 72; vars: 53570; clauses: 36451; decisions: 45994
iteration: 73; vars: 54290; clauses: 38371; decisions: 46331
iteration: 74; vars: 55010; clauses: 26134; decisions: 46979
iteration: 75; vars: 55730; clauses: 28054; decisions: 47322
iteration: 76; vars: 56450; clauses: 29974; decisions: 47735
iteration: 77; vars: 57170; clauses: 31886; decisions: 48024
iteration: 78; vars: 57890; clauses: 33798; decisions: 48622
iteration: 79; vars: 58610; clauses: 35702; decisions: 49454
iteration: 80; vars: 59330; clauses: 37622; decisions: 50717
iteration: 81; vars: 60050; clauses: 39542; decisions: 50968
iteration: 82; vars: 60770; clauses: 41462; decisions: 51470
iteration: 83; vars: 61490; clauses: 43378; decisions: 52153
iteration: 84; vars: 62210; clauses: 29503; decisions: 52491
iteration: 85; vars: 62930; clauses: 31419; decisions: 52939
iteration: 86; vars: 63650; clauses: 33335; decisions: 53293
iteration: 87; vars: 64370; clauses: 35251; decisions: 53764
iteration: 88; vars: 65090; clauses: 37171; decisions: 55441
iteration: 89; vars: 65810; clauses: 39091; decisions: 55716
iteration: 90; vars: 66530; clauses: 41011; decisions: 56932
iteration: 91; vars: 67250; clauses: 42931; decisions: 57563
iteration: 92; vars: 67970; clauses: 44851; decisions: 58476
iteration: 93; vars: 68690; clauses: 46771; decisions: 58747
iteration: 94; vars: 69410; clauses: 48691; decisions: 59012
iteration: 95; vars: 70130; clauses: 32745; decisions: 59284
iteration: 96; vars: 70850; clauses: 34665; decisions: 59886
iteration: 97; vars: 71570; clauses: 36585; decisions: 60449
iteration: 98; vars: 72290; clauses: 38505; decisions: 61504
iteration: 99; vars: 73010; clauses: 40417; decisions: 61998
iteration: 100; vars: 73730; clauses: 42329; decisions: 62554
iteration: 101; vars: 74450; clauses: 44241; decisions: 62831
iteration: 102; vars: 75170; clauses: 46153; decisions: 63282
iteration: 103; vars: 75890; clauses: 48065; decisions: 64084
iteration: 104; vars: 76610; clauses: 49969; decisions: 64795
iteration: 105; vars: 77330; clauses: 51873; decisions: 65046
iteration: 106; vars: 78050; clauses: 53777; decisions: 66866
iteration: 107; vars: 78770; clauses: 37028; decisions: 67117
iteration: 108; vars: 79490; clauses: 38944; decisions: 68415
iteration: 109; vars: 80210; clauses: 40864; decisions: 70092
iteration: 110; vars: 80930; clauses: 42780; decisions: 70867
iteration: 111; vars: 81650; clauses: 44696; decisions: 71141
iteration: 112; vars: 82370; clauses: 46612; decisions: 72696
iteration: 113; vars: 83090; clauses: 48524; decisions: 72995
iteration: 114; vars: 83810; clauses: 50436; decisions: 73446
iteration: 115; vars: 84530; clauses: 52344; decisions: 73839
iteration: 116; vars: 85250; clauses: 54252; decisions: 74350
iteration: 117; vars: 85970; clauses: 56164; decisions: 74688
iteration: 118; vars: 86690; clauses: 58076; decisions: 75702
iteration: 119; vars: 87410; clauses: 59992; decisions: 76978
iteration: 120; vars: 88130; clauses: 61904; decisions: 77224
iteration: 121; vars: 88850; clauses: 41542; decisions: 77467
iteration: 122; vars: 89570; clauses: 43454; decisions: 77738
iteration: 123; vars: 90290; clauses: 45366; decisions: 79805
iteration: 124; vars: 91010; clauses: 47278; decisions: 80259
iteration: 125; vars: 91730; clauses: 49190; decisions: 80698
iteration: 126; vars: 92450; clauses: 51102; decisions: 81074
iteration: 127; vars: 93170; clauses: 53002; decisions: 81544
iteration: 128; vars: 93890; clauses: 54902; decisions: 82583
iteration: 129; vars: 94610; clauses: 56806; decisions: 82888
iteration: 130; vars: 95330; clauses: 58710; decisions: 83567
iteration: 131; vars: 96050; clauses: 60618; decisions: 83836
iteration: 132; vars: 96770; clauses: 62526; decisions: 84377
iteration: 133; vars: 97490; clauses: 64434; decisions: 84924
iteration: 134; vars: 98210; clauses: 66342; decisions: 85480
iteration: 135; vars: 98930; clauses: 68250; decisions: 85852
iteration: 136; vars: 99650; clauses: 45740; decisions: 86385
iteration: 137; vars: 100370; clauses: 47648; decisions: 86643
iteration: 138; vars: 101090; clauses: 49556; decisions: 87188
iteration: 139; vars: 101810; clauses: 51460; decisions: 87559
iteration: 140; vars: 102530; clauses: 53364; decisions: 88125
iteration: 141; vars: 103250; clauses: 55260; decisions: 88456
iteration: 142; vars: 103970; clauses: 57156; decisions: 88893
iteration: 143; vars: 104690; clauses: 59056; decisions: 89658
iteration: 144; vars: 105410; clauses: 60956; decisions: 90163
iteration: 145; vars: 106130; clauses: 62856; decisions: 90471
iteration: 146; vars: 106850; clauses: 64756; decisions: 91638
iteration: 147; vars: 107570; clauses: 66648; decisions: 91924
iteration: 148; vars: 108290; clauses: 68540; decisions: 92865
iteration: 149; vars: 109010; clauses: 70436; decisions: 94437
iteration: 150; vars: 109730; clauses: 72332; decisions: 95796
iteration: 151; vars: 110450; clauses: 74232; decisions: 96147
iteration: 152; vars: 111170; clauses: 76132; decisions: 96512
iteration: 153; vars: 111890; clauses: 78032; decisions: 97092
iteration: 154; vars: 112610; clauses: 51314; decisions: 97846
iteration: 155; vars: 113330; clauses: 53214; decisions: 98252
iteration: 156; vars: 114050; clauses: 55110; decisions: 98661
iteration: 157; vars: 114770; clauses: 57014; decisions: 99259
iteration: 158; vars: 115490; clauses: 58922; decisions: 100267
iteration: 159; vars: 116210; clauses: 60830; decisions: 100877
iteration: 160; vars: 116930; clauses: 62738; decisions: 101781
iteration: 161; vars: 117650; clauses: 64642; decisions: 102940
iteration: 162; vars: 118370; clauses: 66542; decisions: 103186
iteration: 163; vars: 119090; clauses: 68442; decisions: 103439
iteration: 164; vars: 119810; clauses: 70342; decisions: 103867
iteration: 165; vars: 120530; clauses: 72246; decisions: 104156
iteration: 166; vars: 121250; clauses: 74150; decisions: 104586
iteration: 167; vars: 121970; clauses: 76054; decisions: 105018
iteration: 168; vars: 122690; clauses: 77958; decisions: 105758
iteration: 169; vars: 123410; clauses: 79862; decisions: 106003
iteration: 170; vars: 124130; clauses: 81766; decisions: 106731
iteration: 171; vars: 124850; clauses: 83670; decisions: 109286
iteration: 172; vars: 125570; clauses: 57645; decisions: 109724
iteration: 173; vars: 126290; clauses: 59557; decisions: 110380
iteration: 174; vars: 127010; clauses: 61469; decisions: 110653
iteration: 175; vars: 127730; clauses: 63381; decisions: 111344
iteration: 176; vars: 128450; clauses: 65289; decisions: 112867
iteration: 177; vars: 129170; clauses: 67197; decisions: 113185
iteration: 178; vars: 129890; clauses: 69105; decisions: 113878
iteration: 179; vars: 130610; clauses: 71005; decisions: 114156
iteration: 180; vars: 131330; clauses: 72913; decisions: 114448
iteration: 181; vars: 132050; clauses: 74821; decisions: 114731
iteration: 182; vars: 132770; clauses: 76733; decisions: 115025
iteration: 183; vars: 133490; clauses: 78645; decisions: 115540
iteration: 184; vars: 134210; clauses: 80557; decisions: 115953
iteration: 185; vars: 134930; clauses: 82469; decisions: 116408
iteration: 186; vars: 135650; clauses: 84381; decisions: 117205
iteration: 187; vars: 136370; clauses: 86289; decisions: 117545
iteration: 188; vars: 137090; clauses: 88197; decisions: 118543
iteration: 189; vars: 137810; clauses: 90109; decisions: 118953
iteration: 190; vars: 138530; clauses: 92021; decisions: 119209
iteration: 191; vars: 139250; clauses: 93933; decisions: 119604
iteration: 192; vars: 139970; clauses: 63915; decisions: 119858
iteration: 193; vars: 140690; clauses: 65827; decisions: 120767
